1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Thinking about moving wrist,,,Thinking test 2,,
TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?,TIME,CH1,Tremor?
,,,201,11,1,201,40,0,201,8,0,201,11,0,201,12,0,201,6,0
,,,202,14,1,202,40,0,202,7,0,202,9,0,202,17,0,202,6,0
,,,203,19,1,203,32,0,203,10,0,203,11,0,203,11,0,203,6,0
,,,204,13,1,204,36,0,204,21,0,204,9,0,204,9,0,204,6,0
,,,205,13,1,205,29,0,205,21,0,205,7,0,205,8,0,205,7,0
,,,206,12,1,206,19,0,206,30,0,206,6,0,206,12,0,206,7,0
,,,207,16,1,207,13,100,207,23,0,207,13,0,207,9,0,207,7,0
,,,208,15,1,208,12,100,208,19,0,208,15,0,208,7,0,208,6,0
,,,209,31,1,209,14,100,209,12,0,209,24,0,209,7,0,209,6,0
,,,210,19,1,210,14,100,210,10,0,210,49,0,210,6,0,210,6,0
,,,211,21,1,211,13,100,211,15,0,211,19,0,211,6,100,211,8,0
,,,212,21,1,212,11,100,212,25,0,212,12,0,212,6,100,212,11,0
,,,213,21,1,213,10,100,213,25,0,213,11,0,213,7,100,213,11,0
,,,214,55,1,214,13,100,214,23,0,214,8,0,214,6,100,214,7,0
,,,215,30,1,215,13,100,215,17,0,215,8,0,215,6,100,215,7,0
,,,216,24,1,216,12,100,216,12,0,216,12,0,216,6,100,216,9,0
,,,217,30,1,217,13,100,217,7,100,217,42,0,217,6,100,217,9,0
,,,218,19,1,218,14,100,218,11,0,218,17,0,218,6,100,218,7,0
,,,219,17,1,219,18,0,219,15,0,219,13,0,219,6,100,219,8,0
,,,220,17,1,220,15,100,220,18,0,220,24,0,220,7,100,220,7,0
,,,221,14,1,221,20,0,221,12,100,221,12,0,221,8,0,221,6,0
,,,222,21,1,222,20,0,222,8,100,222,8,0,222,6,100,222,8,0
,,,223,32,1,223,26,0,223,6,100,223,6,0,223,6,100,223,6,0
,,,224,37,1,224,34,0,224,13,100,224,13,0,224,6,100,224,6,0
,,,225,28,1,225,25,0,225,37,0,225,40,0,225,6,100,225,7,0
,,,226,18,1,226,16,0,226,58,0,226,16,0,226,7,100,226,19,0
,,,227,18,1,227,12,0,227,54,0,227,22,0,227,8,0,227,15,0
,,,228,37,1,228,15,0,228,50,0,228,23,0,228,10,0,228,12,0
,,,229,33,1,229,12,0,229,26,100,229,18,0,229,11,0,229,9,0
,,,230,20,1,230,23,0,230,13,100,230,10,0,230,16,0,230,8,0
,,,231,25,1,231,45,0,231,9,100,231,7,0,231,14,0,231,6,0
,,,232,28,1,232,54,0,232,10,100,232,6,100,232,9,0,232,6,0
,,,233,23,1,233,46,0,233,11,100,233,16,100,233,12,0,233,7,0
,,,234,16,1,234,30,0,234,14,100,234,31,100,234,10,0,234,6,0
,,,235,13,1,235,15,0,235,16,100,235,22,100,235,11,0,235,7,0
,,,236,14,1,236,17,0,236,13,100,236,45,100,236,12,0,236,10,0
,,,237,15,1,237,19,0,237,9,100,237,20,100,237,22,0,237,7,0
,,,238,18,1,238,22,0,238,56,100,238,14,100,238,18,0,238,7,0
,,,239,20,1,239,21,0,239,31,100,239,15,100,239,16,0,239,7,0
,,,240,12,1,240,37,0,240,16,100,240,8,100,240,16,0,240,28,0
,,,241,21,1,241,35,0,241,14,100,241,7,100,241,40,0,241,25,0
,,,242,22,1,242,29,0,242,9,100,242,11,100,242,44,0,242,12,0
,,,243,25,1,243,20,0,243,10,100,243,15,100,243,50,0,243,15,0
,,,244,27,1,244,18,0,244,13,100,244,14,100,244,46,0,244,10,0
,,,245,16,1,245,15,0,245,13,100,245,30,100,245,34,0,245,7,0
,,,246,13,1,246,16,0,246,16,100,246,24,100,246,38,0,246,7,0
,,,247,17,1,247,15,0,247,11,100,247,20,100,247,47,0,247,6,0
,,,248,19,1,248,12,0,248,8,100,248,11,100,248,38,0,248,6,0
,,,249,15,1,249,19,0,249,7,100,249,8,100,249,27,0,249,7,0
,,,250,10,1,250,31,0,250,9,100,250,7,100,250,36,0,250,7,0
,,,251,13,1,251,32,0,251,20,100,251,8,100,251,36,0,251,6,0
,,,252,16,1,252,29,0,252,38,100,252,31,100,252,30,0,252,8,0
,,,253,14,1,253,19,0,253,36,100,253,16,100,253,29,0,253,13,0
,,,254,11,1,254,20,0,254,33,100,254,15,100,254,26,0,254,21,0
,,,255,10,1,255,18,0,255,20,100,255,16,100,255,42,0,255,17,0
,,,256,12,1,256,14,0,256,21,100,256,14,100,256,35,0,256,21,0
,,,257,16,1,257,17,0,257,10,100,257,10,100,257,25,0,257,18,0
,,,258,17,1,258,16,0,258,7,100,258,8,100,258,25,0,258,12,0
,,,259,16,1,259,11,0,259,6,100,259,7,100,259,19,0,259,8,0
,,,260,11,1,260,12,0,260,14,100,260,9,100,260,14,0,260,11,0
,,,261,15,1,261,11,0,261,18,100,261,19,100,261,8,0,261,8,0
,,,262,14,1,262,15,0,262,13,100,262,23,100,262,12,0,262,8,0
,,,263,18,1,263,13,0,263,12,100,263,18,100,263,9,0,263,8,0
,,,264,18,1,264,14,0,264,21,100,264,16,100,264,7,0,264,7,0
,,,265,16,1,265,22,0,265,41,100,265,11,100,265,6,0,265,8,0
,,,266,20,1,266,23,0,266,52,100,266,31,100,266,6,0,266,11,0
,,,267,23,1,267,22,0,267,30,100,267,32,100,267,6,0,267,29,0
,,,268,21,1,268,14,0,268,31,100,268,42,100,268,7,0,268,20,0
,,,269,24,1,269,9,0,269,40,100,269,31,100,269,6,0,269,10,0
,,,270,27,1,270,12,0,270,53,100,270,24,100,270,8,0,270,7,0
,,,271,14,1,271,11,0,271,70,100,271,17,100,271,7,0,271,7,0
,,,272,11,1,272,11,0,272,53,100,272,18,100,272,6,0,272,10,0
,,,273,13,1,273,10,0,273,30,100,273,12,100,273,6,0,273,8,0
,,,274,12,1,274,18,0,274,17,100,274,8,100,274,6,0,274,7,0
,,,275,14,1,275,15,0,275,14,100,275,6,100,275,7,0,275,7,0
,,,276,10,1,276,14,0,276,30,100,276,10,100,276,7,0,276,7,0
,,,277,10,1,277,12,0,277,52,100,277,14,100,277,8,0,277,9,0
,,,278,19,1,278,13,0,278,53,100,278,26,100,278,8,0,278,12,0
,,,279,24,1,279,13,0,279,66,100,279,49,100,279,9,0,279,11,0
,,,280,21,1,280,9,100,280,93,100,280,74,100,280,8,0,280,13,0
,,,281,19,1,281,11,100,281,70,100,281,88,100,281,9,0,281,20,0
,,,282,12,1,282,10,100,282,42,100,282,95,100,282,7,0,282,19,0
,,,283,13,1,283,9,100,283,26,100,283,120,100,283,6,0,283,48,0
,,,284,16,1,284,11,100,284,30,100,284,138,100,284,7,0,284,51,0
,,,285,13,1,285,15,100,285,41,100,285,140,100,285,9,0,285,27,0
,,,286,17,1,286,14,100,286,39,100,286,129,100,286,6,0,286,12,0
,,,287,16,1,287,22,100,287,46,100,287,114,100,287,7,0,287,7,0
,,,288,10,1,288,22,100,288,57,100,288,121,100,288,7,0,288,7,0
,,,289,19,1,289,22,100,289,68,100,289,116,100,,,,289,9,0
